KIT DE CALIPER IMPORTADOS BBP;;;;;;;;;;;
Referencia ;Descripción;Cantidad ;Diametro;;;Costos ;PRECIO $ CARACAS ;PRECIO $ ORIENTE ;C ATEGORIA;EQUIVALENCIA;MARCA 
4198K;Kit de Caliper Chrysler Neon 00/05, LeBaron 82/91;1 Rueda;54,05mm;;;4,50;10,00;11,25;KIT DE CALIPER IMPORTADO;;
15038;Kit de Caliper Toyota Series: Land Cruiser (76/90), Pickup 79/88, Pastilla D137 7069;2 Ruedas;34,42mm;;;6,6;14,67;16,50;KIT DE CALIPER IMPORTADO;;
15041K;Kit de Caliper, Honda Series: Civic, Prelude (79/82),Mitsubishi Mirage (85/90), Mazda Miata (99/05);1 Rueda;51,50mm;;;5,50;12,22;13,75;KIT DE CALIPER IMPORTADO;;
15050K;Kit de Caliper Honda Series: Civic (80/87), Pastilla: D281 7104,Hyundai series: Excel (87/89), Pastilla: D440 7293;1 Rueda;51,5mm;;;5,00;11,11;12,50;KIT DE CALIPER IMPORTADO;;
15055K;Kit de Caliper Mitsubishi, Series: Montero 88/91, Pannel Pastilla D349 7241, Hyundai Galloper;1 Rueda;58,67mm;;;6,50;14,44;16,25;KIT DE CALIPER IMPORTADO;;
15058;Kit de Caliper Nissan Sentra, Pastilla D5107389, Volkswagen Fox, Delantero.Toyota Series: 4Runner, Land Cruiser, Tundra Trasero.Chevrolet TrailBlazer (02/09), Trasero, Pastilla D883 7760;1 Rueda;48,30mm;;;1,50;3,33;3,75;KIT DE CALIPER IMPORTADO;;
15072;KIT DE CÁLIPER HYUNDAI SERIES:ELANTRA TIBURÓN,PD924 7825 , HONDA CIVIC ;1Rueda;57.8mm;;;2,00;4,44;5,00;KIT DE CALIPER IMPORTADO;;
15076K;Kit de Caliper Honda Series: Civic 96/11, Mitsubishi Series: Mirage 85/02, Galant 85/93 Pastilla D484-7365, Eclipse. ;1 Rueda;55.42mm;;;6,00;13,33;15,00;KIT DE CALIPER IMPORTADO;;
15079;Kit de Caliper, Hyundai Tucson (03/06) Pastilla. D924 7825, Corolla, Pastilla 7156;1 Rueda;61,00mm;;;2,40;5,33;6,00;KIT DE CALIPER IMPORTADO;;
15084K;Toyota Series: Corolla (84/92), Paseo, Tercel, Starlet, Pastilla D242 7153;1 Rueda;52,53mm;;;4,80;10,67;12,00;KIT DE CALIPER IMPORTADO;;
