KIT DE CALIPER NACIONALES (AKRON);;;;;;;;;;;
Referencia;Descripcion;Para;Diametro mm ;;;COSTO;CARACAS;ORIENTE;CATEGOTRIA;EQUIVALENCIA;MARCA
KD-1210;Kit de Caliper, Fiat, Ford Corcel II, Monza, R-12;;48 mm;;;1,68;3,73;4,20;KIT DE CALIPER NACIONAL;;
KD-1800;Kit de Caliper, Renault Series: R-18, GTL ;1 Rueda;48 mm;;;1,68;3,73;4,20;KIT DE CALIPER NACIONAL;;
KD-9534;Kit de Caliper, Lada ( Todos ), Juego Doble;;48 mm;;;1,68;3,73;4,20;KIT DE CALIPER NACIONAL;;
KD-76090;Kit de Caliper, Ford Series: F-100/150/350;;73,03 mm;;;1,68;3,73;4,20;KIT DE CALIPER NACIONAL;;
KD-99024;Kit de Caliper, Ford Series: Malibu (…79), Century, Celebrity;1 Rueda;64 mm;;;3,50;7,78;8,75;KIT DE CALIPER NACIONAL;430;
KD-55727;Kit de Caliper, Encava 32 Puestos, E-NT 610.;;"1-7/16""";;;4,34;9,64;10,85;KIT DE CALIPER NACIONAL;403;
KD-55727FP;Kit de Caliper, Encava 32 Puestos, E-NT 610, ( 2 Piezas );;"1-7/16""";;;3,08;6,84;7,70;KIT DE CALIPER NACIONAL;;
KD-55737FP;Kit de Caliper, Encava 32 Puestos, E-NT 610, ( 2 Piezas ), Goma Plana.;;"1-7/16""";;;5,60;12,44;14,00;KIT DE CALIPER NACIONAL;;
KD-55728FP;Kit de Caliper, Encava 32 Puestos, Trasero, ( 4 Piezas );;"1-1/2""";;;8,12;18,04;20,30;KIT DE CALIPER NACIONAL;;
KD-5670FP;Kit de Caliper, Encava E-NT 900, ( Ecologico ).;;"1-3/8""";;;6,30;14,00;15,75;KIT DE CALIPER NACIONAL;;
KD-5670;Kit de Caliper, Encava E-NT 900, ( Ecologico ).;;"1-3/8""";;;13,30;29,56;33,25;KIT DE CALIPER NACIONAL;404;
KD-13570;Kit de Caliper, Dahiatsu ( Anillo ).;;31,75 mm;;;11,90;26,44;29,75;KIT DE CALIPER NACIONAL;410;
KD-26930;Kit de Caliper,Chevrolet NPR, (3798), Toyota Dyna, Trasero.;;"1-5/16""";;;9,80;21,78;24,50;KIT DE CALIPER NACIONAL;426;
KD-918;Kit De Caliper Renualt Series: R-11/R-18L/R-19/Megáne/Clio (98-00);;48mm;;;3,50;7,78;8,75;KIT DE CALIPER NACIONAL;443;
KD-26696;Kit de Caliper Chevrolet series: Z-24,Spark,Daewoo series: Matiz,Lanos Ø 51 MM  ;;51,00mm;;;4,90;10,89;12,25;KIT DE CALIPER NACIONAL;505;
KD-475201110;Kit de Caliper, Hino 500 ( Goma Tipo Anillo ).;;1-7/16¨;;;12,60;28,00;31,50;KIT DE CALIPER NACIONAL;510;
KD-97179359;Kit de Caliper,Chevrolet NHR.;;1-1/8¨;;;14,00;31,11;35,00;KIT DE CALIPER NACIONAL;511;
KD-62643727;Ford Series:F-150/Fortaleza Mexicana 4x2;;48mm;;;5,00;11,11;12,50;KIT DE CALIPER NACIONAL;515;
KD-640FP;"Kit de Caliper,Toyota de Ø 1-1/8""  (4 Piezas)";1 Rueda;"1-1/8""";;;4,20;9,33;10,50;KIT DE CALIPER NACIONAL;;
KD-650FP;"Kit de Caliper, Toyota de Ø 1""  (4 Piezas)";1 Rueda;"1""";;;3,50;7,78;8,75;KIT DE CALIPER NACIONAL;;
;;;;;;;;;;;
;;;;;;;;;;;
SELLOS Y VALVULAS DE HIDROVACK;;;;;;;;;;;
Referencia;Descripcion;;;;;COSTO;CARACAS;ORIENTE;;;
201;Anillo Universal Para Chevrolet Pickup 77/83;;;;;0,70;1,56;1,75;SELLOS Y VALVULA DE HIDROVACK ;;
202;Sello De 3 Patas Para Ford y Dodge;;;;;0,40;0,89;1,00;SELLOS Y VALVULA DE HIDROVACK ;;
205;Pasa Manguera Universal / (Goma Vàlvula Universal);;;;;0,90;2,00;2,25;SELLOS Y VALVULA DE HIDROVACK ;;
210;Sello Interno Ford Pickup, F-350, Auto Poper Ford;;;;;2,80;6,22;7,00;SELLOS Y VALVULA DE HIDROVACK ;;
211;Sello De Hidrovack, estriada grande;;;;;0,50;1,11;1,25;SELLOS Y VALVULA DE HIDROVACK ;;
212;Sello De Hidrovack Hueco Mediano, Toyota Camionetas;;;;;0,60;1,33;1,50;SELLOS Y VALVULA DE HIDROVACK ;;
213;Sello Central Ford años 74/80;;;;;2,00;4,44;5,00;SELLOS Y VALVULA DE HIDROVACK ;;
214;Sello Central Toyota Samurai años 85/88;;;;;2,00;4,44;5,00;SELLOS Y VALVULA DE HIDROVACK ;;
215;Sello De Hidrovack, estriada pequeña;;;;;0,50;1,11;1,25;SELLOS Y VALVULA DE HIDROVACK ;;
216;Estopera interna De Hidrovack, Ford F100;;;;;0,60;1,33;1,50;SELLOS Y VALVULA DE HIDROVACK ;;
221;Sello Ford F-350 Hueco grande, Trasero, Dodge Spirit;;;;;3,40;7,56;8,50;SELLOS Y VALVULA DE HIDROVACK ;;
228;Sello Booster Ford F-100/150 Trasero;;;;;1,00;2,22;2,50;SELLOS Y VALVULA DE HIDROVACK ;;
238;Sello Corsa/Chevette/Daewoo;;;;;0,40;0,89;1,00;SELLOS Y VALVULA DE HIDROVACK ;;
239;Sello Booster Renault/Fiat;;;;;0,60;1,33;1,50;SELLOS Y VALVULA DE HIDROVACK ;;
245;Sello Interno Chevrolet 65/80 Poper;;;;;3,60;8,00;9,00;SELLOS Y VALVULA DE HIDROVACK ;;
18005727;Sello para Ford Series: F-150 (80/89) Delantero;;;;;0,80;1,78;2,00;SELLOS Y VALVULA DE HIDROVACK ;;
2501143CH;Sello de Hidrovack Para Toyota, Hueco Grande;;;;;0,40;0,89;1,00;SELLOS Y VALVULA DE HIDROVACK ;;
250143CH;Sello de Hidrovack Para Ford Viejos, Hueco Pequeño;;;;;0,30;0,67;0,75;SELLOS Y VALVULA DE HIDROVACK ;;
2509424K;Kit De Vàlvula y Goma Universal De Hidrovack;;;;;0,00;0,00;0,00;SELLOS Y VALVULA DE HIDROVACK ;;
2509424V;Vàlvula  De Hidrovack ;;;;;0,00;0,00;0,00;SELLOS Y VALVULA DE HIDROVACK ;;
2509424VD;Vàlvula  De Hidrovack Para Dodge;;;;;0,00;0,00;0,00;SELLOS Y VALVULA DE HIDROVACK ;;
AC-1003;Sello Tipo Acordeòn Chevrolet Monza 80/84;;;;;0,80;1,78;2,00;SELLOS Y VALVULA DE HIDROVACK ;;
204254604;Sello De Hidrovack Toyota Explosion;;;;;2,00;4,44;5,00;SELLOS Y VALVULA DE HIDROVACK ;;
MXC013;Retén de manguera Universal ( Solo se vende Empaque de 100 Unidades, Multiplicar el precio unitario x 100);;;;;1,00;2,22;2,50;SELLOS Y VALVULA DE HIDROVACK ;;
;;;;;;;;;;;
;;;;;;;;;;;
DIAFRAGMAS DE HIDROVACK;;;;;;;;;;;
Referencia;Descripcion;CANTIDAD ;MEDIDA;MEDIDA;MEDIDA;COSTO;CARACAS;ORIENTE ;KATEGORIA;EQUIVALENCIA;MARCA
18002008;Chevrolet Malibù Classic 6 Cilindros, Century (80/86);;;;;3,80;8,44;9,50;DIAFRAGMAS DE HIDROVACK;;
18002317;Chevrolet Malibù 8 Cilindros (76/80), C-10;;;;;4,20;9,33;10,50;DIAFRAGMAS DE HIDROVACK;;
18002382;Chevrolet Malibù, Caprice, Impala (77/85), Primario;;;;;4,70;10,44;11,75;DIAFRAGMAS DE HIDROVACK;;
18002383;Chevrolet Malibù/Caprice/Impala (77/85), Blazer Secundario;;;;;4,60;10,22;11,50;DIAFRAGMAS DE HIDROVACK;;
;;;;;;;;;;;
;;;;;;;;;;;
KIT DE REPARACION DE BOMBAS DE FRENO (SOLO GOMAS) IMPORTADO;;;;;;;;;;;
Referencia;Descripcion;CANTIDAD ;MEDIDA;MEDIDA ;MEDIDA;COSTO;CARACAS;ORIENTE;;;
71621;Kit de Reparacion para Bomba, Malibu (77), Chevrolet C-10, Año (77) ;;;;;1,50;3,33;3,75;KIT DE REPARACION DE BOMBAS DE FRENO IMPORTADO;;
71621N;Kit de Reparacion para Bomba, Chevrolet Bomba Nacional ;;;;;1,70;3,78;4,25;KIT DE REPARACION DE BOMBAS DE FRENO IMPORTADO;;
71664;"Kit de Reparacion para Bomba, Dodge Dart 1 y 3/32"" ";;;;;1,30;2,89;3,25;KIT DE REPARACION DE BOMBAS DE FRENO IMPORTADO;;
83075;"Kit de Reparacion para Bomba, Ford F-350 Año (73/75),  1 y 1/4""";;;;;1,40;3,11;3,50;KIT DE REPARACION DE BOMBAS DE FRENO IMPORTADO;;
85366;Kit de Reparacion para Bomba, Ford Maverick (75/77), (5 Piezas);;;;;1,30;2,89;3,25;KIT DE REPARACION DE BOMBAS DE FRENO IMPORTADO;;
99032;Kit de Reparacion para Bomba, Chevrolet Malibu (78/81) ;;;;;1,10;2,44;2,75;KIT DE REPARACION DE BOMBAS DE FRENO IMPORTADO;;
99083;"Kit de Reparacion para Bomba, Ford F-350 Año (77/84), 1 y 1/16""";;;;;1,30;2,89;3,25;KIT DE REPARACION DE BOMBAS DE FRENO IMPORTADO;;
99101;Kit de Reparacion para Bomba, Chevrolet/Century;;;;;1,10;2,44;2,75;KIT DE REPARACION DE BOMBAS DE FRENO IMPORTADO;;
110920;"Kit de Reparacion para Bomba, Ford F-350 Año (84/86), 1 y 1/8"" ";;;;;1,40;3,11;3,50;KIT DE REPARACION DE BOMBAS DE FRENO IMPORTADO;;
