ESTOPERAS DE RUEDA;;;;;;;;;;;
Referecia (1) National;Aplicación;;;;ALTURA;;;;;;
;;CANTIDAD;INTERIOR;EXTER;;COSTO;CARACAS;ORIENTE;CATEGORIA;EQUIVALENCIA;MARCA
1126;Estopera, Ford Festiva Trasera;;39;50.4;9;1,30;2,89;3,25;ESTOPERAS DE RUEDA ;37004;
1190-AA;Estopera Ford Corcel/Del Rey Delantera;;46;65.50;7;1,60;3,56;4,00;ESTOPERAS DE RUEDA ;;
1196;Estopera, Rueda Trasera, Hyundai Excel/Mitsubishi Lancer;;38;52;6;1,30;2,89;3,25;ESTOPERAS DE RUEDA ;38522;
1205-N;Estopera, Toyota Starlet Trasera;;39;52;6/11.5;1,90;4,22;4,75;ESTOPERAS DE RUEDA ;39524;
1249-AA;Estopera Ford Corcel/Del Rey Trasera;;38;58.50;7;1,20;2,67;3,00;ESTOPERAS DE RUEDA ;;
1308;"Estopera, Ford F-750 Trasera En Bano De Aceite ""Escalonada""";;98.43;144.55;22.6;18,00;40,00;45,00;ESTOPERAS DE RUEDA ;98007;
2000N;Estopera Hidrovac Toyota 2F/3F Reforzada ;;39;52/46.;6;2,00;4,44;5,00;ESTOPERAS DE RUEDA ;34053;
2081-N;Estopera, Chevrolet C-30 Trasera;;72.2;100.05;12.7;2,70;6,00;6,75;ESTOPERAS DE RUEDA ;72947;
2146;Estopera Chevette Trasera Externa Set-9;;42.85;65.02;11.93;2,00;4,44;5,00;ESTOPERAS DE RUEDA ;42024;
2222;Estopera Rueda Delantera Ford F600 Interna 70x96/102;;69.85;95.83;11.05;2,50;5,56;6,25;ESTOPERAS DE RUEDA ;;
2392;Estopera Rueda Delantera Interna, Ford Escort;;55;70;10;0,00;0,00;0,00;ESTOPERAS DE RUEDA ;;
2674S;Estopera Ford F-750 Delantera = 370054A, Baño De Aceite.;;73.02;96.9/106.07;20.65;4,50;10,00;11,25;ESTOPERAS DE RUEDA ;73013;
2689;Estopera, Chevrolet C-10, Trasera Externa Set-10 Dana (LYO);;47.62;72.77;12.4/15;1,80;4,00;4,50;ESTOPERAS DE RUEDA ;47059;
3087;Estopera Rueda Delantera Dodge D-100;;52.00;69.29;6.3/13.5;1,50;3,33;3,75;ESTOPERAS DE RUEDA ;;
3195;Estopera Ford Bronco 4x4 Trasera Externa;;46.62;79.90;10/23.62;2,50;5,56;6,25;ESTOPERAS DE RUEDA ;;
3210;Estopera Rueda Delantera Dodge D600;;;;;5,70;12,67;14,25;ESTOPERAS DE RUEDA ;;
3348;Estopera Rueda Trasera Chevrolet Chevette;;33.00;51.91;12.70;1,20;2,67;3,00;ESTOPERAS DE RUEDA ;;
3357;Estopera, Chevette Delantera;;38;52.05;6.35;1,30;2,89;3,25;ESTOPERAS DE RUEDA ;38037;
3385;Estopera Rueda Trasera Ford F-350 Super Duty;;80.77;106.17;13.6/19.05;3,50;7,78;8,75;ESTOPERAS DE RUEDA ;;
3743;Estopera Rueda Delantera/Trasera Ford Sierra;;50;65;9.6/14;1,60;3,56;4,00;ESTOPERAS DE RUEDA ;50659;
3747;Estopera Rueda Trasera Chevrolet Malibu/Caprice;;43.25;78.33;12.7;1,60;3,56;4,00;ESTOPERAS DE RUEDA ;;
3942;Estopera Rueda Delantera Interna Jeep Cherokee;;63.50;81.94;4.8/9.5;2,00;4,44;5,00;ESTOPERAS DE RUEDA ;;
4019N;Estopera Rueda Delantera Century/Jeep;;61.77;77.98;5.76;1,40;3,11;3,50;ESTOPERAS DE RUEDA ;;
4122;Estopera Rueda Delantera Cherokee Externa;;73.20;87.15;7.4;2,00;4,44;5,00;ESTOPERAS DE RUEDA ;;
